sample_index	class	xbp1_column	gata3_column	pc1_projection	projection_method
0	1	4404	4359	-1.8488496280146953	two_gene_projection_onto_pc1_loading_plane
1	0	4404	4359	2.437239224418665	two_gene_projection_onto_pc1_loading_plane
2	0	4404	4359	0.4528420602139819	two_gene_projection_onto_pc1_loading_plane
3	1	4404	4359	-2.485219583136253	two_gene_projection_onto_pc1_loading_plane
4	1	4404	4359	-2.082651548850473	two_gene_projection_onto_pc1_loading_plane
5	1	4404	4359	-2.0132054445079226	two_gene_projection_onto_pc1_loading_plane
6	1	4404	4359	-2.1879541784025243	two_gene_projection_onto_pc1_loading_plane
7	0	4404	4359	0.708365118099826	two_gene_projection_onto_pc1_loading_plane
8	1	4404	4359	-0.9060575546716307	two_gene_projection_onto_pc1_loading_plane
9	0	4404	4359	-0.045349081656045724	two_gene_projection_onto_pc1_loading_plane
10	1	4404	4359	-2.457455968929864	two_gene_projection_onto_pc1_loading_plane
11	1	4404	4359	-0.46895511140537804	two_gene_projection_onto_pc1_loading_plane
12	1	4404	4359	-0.13891133308646345	two_gene_projection_onto_pc1_loading_plane
13	0	4404	4359	3.2240728640093574	two_gene_projection_onto_pc1_loading_plane
14	0	4404	4359	-1.461641496956666	two_gene_projection_onto_pc1_loading_plane
15	1	4404	4359	-3.6032752494932927	two_gene_projection_onto_pc1_loading_plane
16	0	4404	4359	0.995819841538939	two_gene_projection_onto_pc1_loading_plane
17	1	4404	4359	-2.77767504932695	two_gene_projection_onto_pc1_loading_plane
18	1	4404	4359	-2.0086948054707925	two_gene_projection_onto_pc1_loading_plane
19	0	4404	4359	0.5089620835758047	two_gene_projection_onto_pc1_loading_plane
20	0	4404	4359	3.471752118149403	two_gene_projection_onto_pc1_loading_plane
21	1	4404	4359	-0.974054939806545	two_gene_projection_onto_pc1_loading_plane
22	0	4404	4359	-1.9581505155281294	two_gene_projection_onto_pc1_loading_plane
23	0	4404	4359	1.4252630474778056	two_gene_projection_onto_pc1_loading_plane
24	1	4404	4359	-1.4666325781215177	two_gene_projection_onto_pc1_loading_plane
25	1	4404	4359	-1.337486278128046	two_gene_projection_onto_pc1_loading_plane
26	1	4404	4359	-1.4147459957036164	two_gene_projection_onto_pc1_loading_plane
27	0	4404	4359	1.48594393611368	two_gene_projection_onto_pc1_loading_plane
28	0	4404	4359	0.6773550321546106	two_gene_projection_onto_pc1_loading_plane
29	0	4404	4359	-0.19702512162903718	two_gene_projection_onto_pc1_loading_plane
30	0	4404	4359	-0.18326019219212408	two_gene_projection_onto_pc1_loading_plane
31	1	4404	4359	-0.7570019389429442	two_gene_projection_onto_pc1_loading_plane
32	0	4404	4359	1.30598377300068	two_gene_projection_onto_pc1_loading_plane
33	0	4404	4359	3.5651957456355934	two_gene_projection_onto_pc1_loading_plane
34	1	4404	4359	0.25853505234258256	two_gene_projection_onto_pc1_loading_plane
35	0	4404	4359	-0.816244675514894	two_gene_projection_onto_pc1_loading_plane
36	0	4404	4359	0.7023161377287289	two_gene_projection_onto_pc1_loading_plane
37	1	4404	4359	-0.8275280587412973	two_gene_projection_onto_pc1_loading_plane
38	0	4404	4359	2.6600788949733785	two_gene_projection_onto_pc1_loading_plane
39	0	4404	4359	0.6348858677572756	two_gene_projection_onto_pc1_loading_plane
40	0	4404	4359	2.0750243819351124	two_gene_projection_onto_pc1_loading_plane
41	1	4404	4359	-1.7422698475452956	two_gene_projection_onto_pc1_loading_plane
42	0	4404	4359	3.46924322299962	two_gene_projection_onto_pc1_loading_plane
43	0	4404	4359	0.28295325756926204	two_gene_projection_onto_pc1_loading_plane
44	1	4404	4359	-0.9643931830346392	two_gene_projection_onto_pc1_loading_plane
45	0	4404	4359	3.1557423808091443	two_gene_projection_onto_pc1_loading_plane
46	1	4404	4359	-2.2194593227112436	two_gene_projection_onto_pc1_loading_plane
47	1	4404	4359	-0.21716746818567523	two_gene_projection_onto_pc1_loading_plane
48	1	4404	4359	-1.3895016558816589	two_gene_projection_onto_pc1_loading_plane
49	0	4404	4359	1.5883286208071348	two_gene_projection_onto_pc1_loading_plane
50	0	4404	4359	1.3198808705238663	two_gene_projection_onto_pc1_loading_plane
51	0	4404	4359	0.7418145620726833	two_gene_projection_onto_pc1_loading_plane
52	0	4404	4359	2.1761174403252856	two_gene_projection_onto_pc1_loading_plane
53	0	4404	4359	-1.379845083302056	two_gene_projection_onto_pc1_loading_plane
54	1	4404	4359	-0.8262433071563113	two_gene_projection_onto_pc1_loading_plane
55	0	4404	4359	1.1360297093205238	two_gene_projection_onto_pc1_loading_plane
56	0	4404	4359	3.479389700534571	two_gene_projection_onto_pc1_loading_plane
57	0	4404	4359	0.268368714137329	two_gene_projection_onto_pc1_loading_plane
58	1	4404	4359	-1.7920095785533392	two_gene_projection_onto_pc1_loading_plane
59	0	4404	4359	1.8393087827989532	two_gene_projection_onto_pc1_loading_plane
60	0	4404	4359	0.0626245992266965	two_gene_projection_onto_pc1_loading_plane
61	1	4404	4359	1.971071228401406	two_gene_projection_onto_pc1_loading_plane
62	0	4404	4359	2.821285361867884	two_gene_projection_onto_pc1_loading_plane
63	1	4404	4359	-1.294529535119095	two_gene_projection_onto_pc1_loading_plane
64	0	4404	4359	2.907872393768465	two_gene_projection_onto_pc1_loading_plane
65	1	4404	4359	-0.9696567140486121	two_gene_projection_onto_pc1_loading_plane
66	0	4404	4359	4.397018191524753	two_gene_projection_onto_pc1_loading_plane
67	0	4404	4359	0.2588063200322618	two_gene_projection_onto_pc1_loading_plane
68	0	4404	4359	1.9171859826247564	two_gene_projection_onto_pc1_loading_plane
69	0	4404	4359	-0.8994961530287978	two_gene_projection_onto_pc1_loading_plane
70	0	4404	4359	-0.9177979729892526	two_gene_projection_onto_pc1_loading_plane
71	0	4404	4359	2.1304189201686206	two_gene_projection_onto_pc1_loading_plane
72	1	4404	4359	-1.9539988422509438	two_gene_projection_onto_pc1_loading_plane
73	1	4404	4359	-1.9158866560844026	two_gene_projection_onto_pc1_loading_plane
74	1	4404	4359	-1.2254648752055086	two_gene_projection_onto_pc1_loading_plane
75	0	4404	4359	1.4763358159766262	two_gene_projection_onto_pc1_loading_plane
76	1	4404	4359	-0.8431757391664294	two_gene_projection_onto_pc1_loading_plane
77	0	4404	4359	1.0542734913612013	two_gene_projection_onto_pc1_loading_plane
78	0	4404	4359	0.49065348955091703	two_gene_projection_onto_pc1_loading_plane
79	0	4404	4359	1.6061128136034637	two_gene_projection_onto_pc1_loading_plane
80	0	4404	4359	1.2959255837327235	two_gene_projection_onto_pc1_loading_plane
81	1	4404	4359	-0.9733736524063786	two_gene_projection_onto_pc1_loading_plane
82	1	4404	4359	-1.9061516244717134	two_gene_projection_onto_pc1_loading_plane
83	1	4404	4359	-1.232376282722189	two_gene_projection_onto_pc1_loading_plane
84	0	4404	4359	1.812634756941698	two_gene_projection_onto_pc1_loading_plane
85	1	4404	4359	-1.9327429916143344	two_gene_projection_onto_pc1_loading_plane
86	0	4404	4359	1.1333605067511594	two_gene_projection_onto_pc1_loading_plane
87	0	4404	4359	1.0293382375344466	two_gene_projection_onto_pc1_loading_plane
88	1	4404	4359	-1.738411616116601	two_gene_projection_onto_pc1_loading_plane
89	0	4404	4359	2.0723660162486994	two_gene_projection_onto_pc1_loading_plane
90	0	4404	4359	1.646220631097566	two_gene_projection_onto_pc1_loading_plane
91	1	4404	4359	-2.815579527463212	two_gene_projection_onto_pc1_loading_plane
92	1	4404	4359	-0.628125421407704	two_gene_projection_onto_pc1_loading_plane
93	1	4404	4359	-0.7386928202764402	two_gene_projection_onto_pc1_loading_plane
94	0	4404	4359	-1.7559033211188304	two_gene_projection_onto_pc1_loading_plane
95	0	4404	4359	-0.7837104408115247	two_gene_projection_onto_pc1_loading_plane
96	1	4404	4359	-1.9745638177571911	two_gene_projection_onto_pc1_loading_plane
97	0	4404	4359	0.1667342674284902	two_gene_projection_onto_pc1_loading_plane
98	1	4404	4359	-1.8299487608059768	two_gene_projection_onto_pc1_loading_plane
99	1	4404	4359	-1.7682586857338034	two_gene_projection_onto_pc1_loading_plane
100	0	4404	4359	0.7707498020341828	two_gene_projection_onto_pc1_loading_plane
101	0	4404	4359	-0.6510528549964918	two_gene_projection_onto_pc1_loading_plane
102	0	4404	4359	-0.5824469098500731	two_gene_projection_onto_pc1_loading_plane
103	1	4404	4359	-1.0469719774782356	two_gene_projection_onto_pc1_loading_plane
104	0	4404	4359	0.25943211661122756	two_gene_projection_onto_pc1_loading_plane
